"name","neighborhood","city","year","stars"
"15 East","Manhattan","New York","2006","None"
"A Voce Columbus","Manhattan","New York","2006","None"
"A Voce Madison","Manhattan","New York","2006","None"
"Adour","Manhattan","New York","2006","None"
"Agern","Manhattan","New York","2006","None"
"Ai Fiori","Manhattan","New York","2006","None"
"Alain Ducasse at the Essex House","Manhattan","New York","2006","3"
"Aldea","Manhattan","New York","2006","None"
"Allen & Delancey","Manhattan","New York","2006","None"
"Alto","Manhattan","New York","2006","None"
"Andanada","Manhattan","New York","2006","None"
"Annisa","Manhattan","New York","2006","1"
"Anthos","Manhattan","New York","2006","None"
"L'Appart","Manhattan","New York","2006","None"
"Aquavit","Manhattan","New York","2006","None"
"Aska","Brooklyn","New York","2006","None"
"L'Atelier de Joël Robuchon","Manhattan","New York","2006","None"
"Atera","Manhattan","New York","2006","None"
"Aureole","Manhattan","New York","2006","1"
"Babbo","Manhattan","New York","2006","1"
"Bar Uchū","Manhattan","New York","2006","None"
"Bâtard","Manhattan","New York","2006","None"
"Le Bernardin","Manhattan","New York","2006","3"
"Betony","Manhattan","New York","2006","None"
"Blanca","Brooklyn","New York","2006","None"
"BLT Fish","Manhattan","New York","2006","1"
"Blue Hill","Manhattan","New York","2006","None"
"Bouley","Manhattan","New York","2006","2"
"The Breslin","Manhattan","New York","2006","None"
"Brushstroke","Manhattan","New York","2006","None"
"Café Boulud","Manhattan","New York","2006","1"
"Café China","Manhattan","New York","2006","None"
"Café Gray","Manhattan","New York","2006","1"
"Cagen","Manhattan","New York","2006","None"
"Carbone","Manhattan","New York","2006","None"
"Casa Enrique","Queens","New York","2006","None"
"Casa Mono","Manhattan","New York","2006","None"
"Caviar Russe","Manhattan","New York","2006","None"
"Chef's Table at Brooklyn Fare","Manhattan","New York","2006","None"
"The Clocktower (restaurant)","Manhattan","New York","2006","None"
"Contra","Manhattan","New York","2006","None"
"Convivio","Manhattan","New York","2006","None"
"Corton","Manhattan","New York","2006","None"
"Cote (restaurant)","Manhattan","New York","2006","None"
"Country","Manhattan","New York","2006","None"
"Craft","Manhattan","New York","2006","1"
"Cru","Manhattan","New York","2006","1"
"Daniel","Manhattan","New York","2006","2"
"Danji","Manhattan","New York","2006","None"
"Danny Brown Wine Bar & Kitchen","Queens","New York","2006","None"
"Danube","Manhattan","New York","2006","2"
"Del Posto","Manhattan","New York","2006","None"
"Delaware & Hudson","Brooklyn","New York","2006","None"
"Devi","Manhattan","New York","2006","None"
"Dovetail","Manhattan","New York","2006","None"
"Dressler","Brooklyn","New York","2006","None"
"Eighty-One","Manhattan","New York","2006","None"
"Eleven Madison Park","Manhattan","New York","2006","None"
"Etats-Unis","Manhattan","New York","2006","1"
"Faro","Brooklyn","New York","2006","None"
"Fiamma Osteria","Manhattan","New York","2006","1"
"The Finch","Brooklyn","New York","2006","None"
"Fleur de Sel","Manhattan","New York","2006","1"
"Gabriel Kreuther","Manhattan","New York","2006","None"
"Gilt","Manhattan","New York","2006","None"
"Gordon Ramsay at The London","Manhattan","New York","2006","None"
"Gotham Bar and Grill","Manhattan","New York","2006","1"
"La Goulue","Manhattan","New York","2006","1"
"Gramercy Tavern","Manhattan","New York","2006","1"
"Gunter Seeger","Manhattan","New York","2006","None"
"Hakkasan","Manhattan","New York","2006","None"
"Heartbreak","Manhattan","New York","2006","None"
"Hirohisa","Manhattan","New York","2006","None"
"Ichimura at Brushstroke","Manhattan","New York","2006","None"
"Insieme","Manhattan","New York","2006","None"
"Jean-Georges","Manhattan","New York","2006","3"
"Jewel Bako","Manhattan","New York","2006","1"
"JoJo","Manhattan","New York","2006","1"
"Jungsik","Manhattan","New York","2006","None"
"Juni","Manhattan","New York","2006","None"
"Junoon","Manhattan","New York","2006","None"
"Kajitsu","Manhattan","New York","2006","None"
"Kanoyama","Manhattan","New York","2006","None"
