,Name,"Neighborhood/
City","2011
(23)[3]","2012
(21)[4]","2013
(19)[2]","2014
(25)[5]","2015
(24)[6]","2016
(22)[7]","2017
(26)[8]","2018
(25)[9]"
0,42 Grams,Uptown,,,,,2,2,2,Closed
1,Acadia,South Loop,,,1,1,1,2,2,2
2,Alinea,Lincoln Park,3,3,3,3,3,3,3,3
3,Avenues,Magnificent Mile,2,Closed,Closed,Closed,Closed,Closed,Closed,Closed
4,Band of Bohemia,Ravenswood,,,,,,,1,1
5,Blackbird,West Loop,1,1,1,1,1,1,1,1
6,Boka,Lincoln Park,1,1,1,1,1,1,1,1
7,Bonsoirée,Logan Square,1,1,Closed,Closed,Closed,Closed,Closed,Closed
8,Charlie Trotter's,Lincoln Park,2,2,Closed,Closed,Closed,Closed,Closed,Closed
9,Crofton on Wells,River North,1,,Closed,Closed,Closed,Closed,Closed,Closed
10,Courtright's,Willow Springs,,1,,Closed,Closed,Closed,Closed,Closed
11,Dusek's,Pilsen,,,,,,1,1,1
12,El Ideas,Douglas Park,,,,1,1,1,1,1
13,Elizabeth,Ravenswood,,,,1,1,1,1,1
14,Elske,West Loop,,,,,,,,1
15,Entente,Lakeview,,,,,,,,1
16,Everest,Loop,1,1,1,1,1,1,1,1
17,Goosefoot,Ravenswood,,,1,1,1,1,1,1
18,Grace,West Loop,,,,2,3,3,3,3
19,Graham Elliot,River North,1,1,2,2,Closed,Closed,Closed,Closed
20,GreenRiver,Streeterville,,,,,,,1,1
21,L2O,Lincoln Park,3,,2,2,2,Closed,Closed,Closed
22,Longman & Eagle,Logan Square,1,1,1,1,1,1,1,
23,Mexique,West Town,,,1,1,,,,
24,Moto,Fulton Market,,1,1,1,1,1,Closed,Closed
25,NAHA,River North,1,1,1,1,1,1,1,1
26,NoMI,Magnificent Mile,1,,,,,,,
27,North Pond,Lincoln Park,,,,1,1,1,1,1
28,Oriole,West Loop,,,,,,,2,2
29,Parachute,Avondale,,,,,,1,1,1
30,RIA,Gold Coast,2,2,Closed,Closed,Closed,Closed,Closed,Closed
31,Roister,Fulton Market,,,,,,,1,1
32,Schwa,West Town,1,1,1,1,1,1,1,1
33,Seasons,Magnificent Mile,1,1,Closed,Closed,Closed,Closed,Closed,Closed
34,Senza,Lakeview East,,,,,1,Closed,Closed,Closed
35,Sepia,West Loop,1,1,1,1,1,1,1,1
36,Sixteen,River North,1,,1,2,2,2,2,2
37,Smyth,West Loop,,,,,,,1,2
38,Spiaggia,Magnificent Mile,1,1,1,1,1,1,1,1
39,Takashi,Bucktown,1,1,1,1,1,Closed,Closed,Closed
40,Topolobampo,River North,1,1,1,1,1,1,1,1
41,The Lobby,Magnificent Mile,,,,1,,,,
42,Tru,Streeterville,1,1,1,1,1,1,2,Closed
43,Vie,Western Springs,1,1,,,,,,
