,Name,"Neighborhood/
City","2017
(12)[2]","2018
(14)[4]"
0,Blue Duck Tavern,West End,1,1
1,Fiola by Fabio Trabocchi,Penn Quarter,1,1
2,Kinship,Mount Vernon Square,1,1
3,Komi,Dupont Circle,,1
4,Masseria,Union Market,1,1
5,Métier,Mount Vernon Square,,1
6,Minibar by José Andrés,Penn Quarter,2,2
7,Pineapple & Pearls,Eastern Market,2,2
8,Plume,Downtown,1,1
9,Rose's Luxury,Eastern Market,1,1
10,Sushi Taro,Dupont Circle,1,1
11,Tail Up Goat,Adams Morgan,1,1
12,The Dabney,Mount Vernon Square,1,1
13,The Inn at Little Washington,"Washington, Virginia",2,2
