name,neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,city
15 East,Manhattan,,,,,,,,1,1,1,,,,"New York
"
A Voce Columbus,Manhattan,,1,1,,1,1,1,1,1,,,,,"New York
"
A Voce Madison,Manhattan,,,,,,1,1,1,1,,,,,"New York
"
Adour,Manhattan,,,,2,1,1,1,1,,,,,,"New York
"
Agern,Manhattan,,,,,,,,,,,,1,1,"New York
"
Ai Fiori,Manhattan,,,,,,,1,1,1,1,1,1,1,"New York
"
Alain Ducasse at the Essex House,Manhattan,3,Closed[18],Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,"New York
"
Aldea,Manhattan,,,,,,1,1,1,1,1,1,1,1,"New York
"
Allen & Delancey,Manhattan,,,,1,,,,,,,,,,"New York
"
Alto,Manhattan,,,,1,2,2,,,,,,,,"New York
"
Andanada,Manhattan,,,,,,,,,,1,1,1,,"New York
"
Annisa,Manhattan,1,1,1,1,1,1,1,1,1,,,,,"New York
"
Anthos,Manhattan,,,1,1,1,1,,,,,,,,"New York
"
L'Appart,Manhattan,,,,,,,,,,,,1,1,"New York
"
Aquavit,Manhattan,,,,,,,,1,1,2,2,2,2,"New York
"
Aska,Brooklyn,,,,,,,,,1,,,2,2,"New York
"
L'Atelier de Joël Robuchon,Manhattan,,,1,1,1,1,2,,,,,,,"New York
"
Atera,Manhattan,,,,,,,,2,2,2,2,2,2,"New York
"
Aureole,Manhattan,1,1,1,1,1,1,1,1,1,1,1,1,1,"New York
"
Babbo,Manhattan,1,1,1,,,,,,1,1,1,1,1,"New York
"
Bar Uchū,Manhattan,,,,,,,,,,,,,1,"New York
"
Bâtard,Manhattan,,,,,,,,,,1,1,1,1,"New York
"
Le Bernardin,Manhattan,3,3,3,3,3,3,3,3,3,3,3,3,3,"New York
"
Betony,Manhattan,,,,,,,,,,1,1,1,,"New York
"
Blanca,Brooklyn,,,,,,,,1,1,2,2,2,2,"New York
"
BLT Fish,Manhattan,1,,,,,,,,,,,,,"New York
"
Blue Hill,Manhattan,,,1,1,1,1,1,1,1,1,1,1,1,"New York
"
Bouley,Manhattan,2,2,2,,1,1,1,1,1,1,1,,,"New York
"
The Breslin,Manhattan,,,,,,1,1,1,1,1,1,1,1,"New York
"
Brushstroke,Manhattan,,,,,,,1,1,1,1,1,,,"New York
"
Café Boulud,Manhattan,1,1,1,1,1,1,1,1,1,1,1,1,1,"New York
"
Café China,Manhattan,,,,,,,,1,1,1,1,1,1,"New York
"
Café Gray,Manhattan,1,1,1,,,,,,,,,,,"New York
"
Cagen,Manhattan,,,,,,,,,,,1,1,,"New York
"
Carbone,Manhattan,,,,,,,,,1,1,1,1,1,"New York
"
Casa Enrique,Queens,,,,,,,,,,1,1,1,1,"New York
"
Casa Mono,Manhattan,,,,,1,1,1,1,1,1,1,1,1,"New York
"
Caviar Russe,Manhattan,,,,,,,,,1,1,1,1,1,"New York
"
Chef's Table at Brooklyn Fare,Manhattan,,,,,,2,3,3,3,3,3,3,3,"New York
"
The Clocktower (restaurant),Manhattan,,,,,,,,,,,,,1,"New York
"
Contra,Manhattan,,,,,,,,,,,,1,1,"New York
"
Convivio,Manhattan,,,,,1,1,,,,,,,,"New York
"
Corton,Manhattan,,,,,2,2,2,2,,,,,,"New York
"
Cote (restaurant),Manhattan,,,,,,,,,,,,,1,"New York
"
