,Name,Borough,"2006
(39)[2]","2007
(39)[3]","2008
(42)[4][5]","2009
(42)[6][7]","2010
(55)[8]","2011
(57)[9]","2012
(62)[10]","2013
(67)[11][12]","2014
(67)[13]","2015
(73)[14]","2016
(76)[15]","2017
(77)[16]","2018
(72)[17]"
0,15 East,Manhattan,,,,,,,,1,1,1,,,
1,A Voce Columbus,Manhattan,,1,1,,1,1,1,1,1,,,,
2,A Voce Madison,Manhattan,,,,,,1,1,1,1,,,,
3,Adour,Manhattan,,,,2,1,1,1,1,,,,,
4,Agern,Manhattan,,,,,,,,,,,,1,1
5,Ai Fiori,Manhattan,,,,,,,1,1,1,1,1,1,1
6,Alain Ducasse at the Essex House,Manhattan,3,Closed[18],Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed
7,Aldea,Manhattan,,,,,,1,1,1,1,1,1,1,1
8,Allen & Delancey,Manhattan,,,,1,,,,,,,,,
9,Alto,Manhattan,,,,1,2,2,,,,,,,
10,Andanada,Manhattan,,,,,,,,,,1,1,1,
11,Annisa,Manhattan,1,1,1,1,1,1,1,1,1,,,,
12,Anthos,Manhattan,,,1,1,1,1,,,,,,,
13,L'Appart,Manhattan,,,,,,,,,,,,1,1
14,Aquavit,Manhattan,,,,,,,,1,1,2,2,2,2
15,Aska,Brooklyn,,,,,,,,,1,,,2,2
16,L'Atelier de Joël Robuchon,Manhattan,,,1,1,1,1,2,,,,,,
17,Atera,Manhattan,,,,,,,,2,2,2,2,2,2
18,Aureole,Manhattan,1,1,1,1,1,1,1,1,1,1,1,1,1
19,Babbo,Manhattan,1,1,1,,,,,,1,1,1,1,1
20,Bar Uchū,Manhattan,,,,,,,,,,,,,1
21,Bâtard,Manhattan,,,,,,,,,,1,1,1,1
22,Le Bernardin,Manhattan,3,3,3,3,3,3,3,3,3,3,3,3,3
23,Betony,Manhattan,,,,,,,,,,1,1,1,
24,Blanca,Brooklyn,,,,,,,,1,1,2,2,2,2
25,BLT Fish,Manhattan,1,,,,,,,,,,,,
26,Blue Hill,Manhattan,,,1,1,1,1,1,1,1,1,1,1,1
27,Bouley,Manhattan,2,2,2,,1,1,1,1,1,1,1,,
28,The Breslin,Manhattan,,,,,,1,1,1,1,1,1,1,1
29,Brushstroke,Manhattan,,,,,,,1,1,1,1,1,,
30,Café Boulud,Manhattan,1,1,1,1,1,1,1,1,1,1,1,1,1
31,Café China,Manhattan,,,,,,,,1,1,1,1,1,1
32,Café Gray,Manhattan,1,1,1,,,,,,,,,,
33,Cagen,Manhattan,,,,,,,,,,,1,1,
34,Carbone,Manhattan,,,,,,,,,1,1,1,1,1
35,Casa Enrique,Queens,,,,,,,,,,1,1,1,1
36,Casa Mono,Manhattan,,,,,1,1,1,1,1,1,1,1,1
37,Caviar Russe,Manhattan,,,,,,,,,1,1,1,1,1
38,Chef's Table at Brooklyn Fare,Manhattan,,,,,,2,3,3,3,3,3,3,3
39,The Clocktower (restaurant),Manhattan,,,,,,,,,,,,,1
40,Contra,Manhattan,,,,,,,,,,,,1,1
41,Convivio,Manhattan,,,,,1,1,,,,,,,
42,Corton,Manhattan,,,,,2,2,2,2,,,,,
43,Cote (restaurant),Manhattan,,,,,,,,,,,,,1
44,Country,Manhattan,,1,1,,,,,,,,,,
45,Craft,Manhattan,1,1,,,,,,,,,,,
46,Cru,Manhattan,1,1,1,1,,,,,,,,,
47,Daniel,Manhattan,2,2,2,2,3,3,3,3,3,2,2,2,2
48,Danji,Manhattan,,,,,,,1,1,1,,,,
49,Danny Brown Wine Bar & Kitchen,Queens,,,,,,1,1,1,1,1,,,
50,Danube,Manhattan,2,1,1,,,,,,,,,,
51,Del Posto,Manhattan,,2,2,2,1,1,1,1,1,1,1,1,1
52,Delaware & Hudson,Brooklyn,,,,,,,,,,1,1,1,1
53,Devi,Manhattan,,1,1,,,,,,,,,,
54,Dovetail,Manhattan,,,,,,1,1,1,1,1,1,1,1
55,Dressler,Brooklyn,,,1,1,1,1,1,1,,,,,
56,Eighty-One,Manhattan,,,,1,1,,,,,,,,
57,Eleven Madison Park,Manhattan,,,,,1,1,3,3,3,3,3,3,3
58,Etats-Unis,Manhattan,1,1,1,1,1,,,,,,,,
